gene_id,F1_1_1,F1_2_1,F1_3_1,F5_1_1,F5_2_1,F5_3_1,anno_chr,anno_start,anno_end
colgalt2,8,16,5,32,0,5,chr8,19364568,19395149
cx43.4,134,112,88,68,24,37,chr9,46405587,46415813
edc3,155,81,267,79,40,32,chr25,20669880,20691082
necab2,366,131,254,187,231,331,chr18,21408794,21618507
disc1,0,5,64,27,55,23,chr13,49057107,49144881
fam110b,2382,1223,2185,1535,700,859,chr2,22208404,22286828
gpc5b,4,54,51,11,23,12,chr22_KZ115635v1_alt|chr22,118864|15438866,182861|15501417
bckdk,1546,1043,1638,1221,489,629,chr5,61508336,61554010
gpc5a,218,23,78,119,84,26,chr1,3100244,3295045
g6pca.1,8,13,17,13,0,20,chr12,6023490,6033854
g6pca.2,140,233,160,193,79,164,chr12,6041562,6048286
dennd11,269,329,641,111,110,67,chr18,20543337,20559811
cfl1l,25,29,44,496,0,48,chr13,33606701,33609433
coasy,928,594,901,658,241,472,chr24,36275664,36301072
dennd10,226,106,124,80,12,106,chr13,9819135,9830710
asah1b,528,363,560,518,218,194,chr1,16654256,16664965
asah1a,161,274,254,256,135,241,chr14,30272895,30277969
actn3a,17,18,8,19,28,5,chr21_KZ115630v1_alt|chr21,34887|27382953,56907|27404973
actn3b,175,9,264,73,28,52,chr7,7048245,7131865
nfkbie,338,635,209,363,139,164,chr20,51274296,51307815
stom,306,204,351,185,43,127,chr21|chr21_KZ114972v1_alt|chr21_KZ115622v1_alt,17542473|32544|262258,17570220|60291|289474
nefmb,1886,3490,1881,2191,2180,1998,chr8,6863462,6866889
zgc:193790,4,17,16,41,0,13,chr21,2336289,2341906
ccn1l2,113,40,93,66,5,45,chr8,52619330,52631062
ccn1l1,0,0,6,6,0,0,chr5_KZ115124v1_alt|chr5,14113|32914328,19931|32920146
mak16,554,1365,1156,1101,1100,701,chr8,45394914,45402210
mta2,1771,995,1498,1752,452,1279,chr7,17907883,17943677
mta3,33,22,52,59,57,31,chr12_KZ115382v1_alt|chr12,96401|25223843,139687|25267129
zgc:86764,44,63,72,88,49,63,chr21,20310217,20322790
pabpc1l,25,0,13,0,0,0,chr8,45334315,45351972
pabpc1b,52812,50776,49507,42913,29450,36900,chr19,12121944,12145730
pabpc1a,67699,50778,59011,64133,45148,47734,chr16,54829293,54851090
jpt2,1234,738,1284,1210,492,743,chr3,15893039,15902229
zgc:171474,0,0,0,0,0,0,chr24,10011661,10013057
znf831,401,156,412,218,108,129,chr11,410885,426777
hexim1,5220,4343,4930,4432,2335,2781,chr12,15565344,15566922
en2b,1202,964,1290,990,883,498,chr2,29976435,29979954
en2a,161,115,212,128,216,64,chr7,40988910,40993456
capsla,8,37,40,39,4,16,chr2,53890005,53896300
tmc2a,2,8,12,34,0,12,chr5,55221593,55251994
zgc:77880,611,538,761,587,125,295,chr1,10305652,10315206
baiap2l2b,0,0,12,0,0,21,chr22_KZ115654v1_alt,106326,136230
tshz1,5332,4854,7039,3587,944,1957,chr19,21408709,21413560
sgf29,1101,2127,1316,1079,845,1183,chr3,15489729,15496533
gnaia,45,18,203,249,92,57,chr25,20997676,21031044
si:ch211-286b5.5,512,240,400,471,176,224,chr1,55264025,55270974
fzd8b,363,165,220,287,18,264,chr2,47955160,47957670
med29,32,39,36,34,0,100,chr15_KZ115476v1_alt,93787,98037
dguok,4,0,5,11,338,11,chr5_KZ114873v1_alt|chr5,3499|69702602,8684|69707787
dgkaa,1615,800,2235,1433,270,719,chr23,32239338,32304668
dgkab,26,0,33,2,8,23,chr11,2481169,2506817
arl5a,582,550,595,487,469,375,chr9_KZ114904v1_alt|chr9,434233|22902865,449729|22918361
apoa2,0,24,0,0,0,0,chr16,23978978,23980268
thrap3b,4784,4273,5089,3751,2298,2928,chr19,3865202,3878548
rbm8a,7185,5476,7637,6171,3075,4649,chr16,45922224,45930077
porcnl,331,444,274,336,245,197,chr8,22544290,22558564
dctd,0,0,0,13,20,12,chr1,39813233,39859457
mllt3,1335,1246,1524,1096,625,685,chr7,18779555,18881358
stxbp5a,1522,1277,2761,852,347,627,chr20,31749445,31905675
zgc:172051,8,0,5,8,0,13,chr3,1005059,1012673
rbp3,125,132,566,105,522,48,chr12,2665054,2670160
gtdc1,151,268,216,158,94,107,chr9,25840720,25911887
top2b,13969,16486,16887,12697,8000,10011,chr19,17688699,17774437
sult6b1,274,187,508,381,90,210,chr11,43375360,43387747
qki2,383,379,497,399,72,268,chr12,34953184,35014145
kcnc4,61,9,16,27,0,11,chr8,24928632,24965308
nosip,59,134,84,219,50,104,chr3|chr3_KZ115072v1_alt,32532645|19662,32536376|23393
naa20,1485,1192,1165,1094,691,699,chr20,49105429,49117401
zgc:165507,628,394,898,234,182,181,chrUn_KN149739v1,39151,44920
kcnc2,220,161,106,112,36,115,chr4,2157861,2196798
fgfrl1b,19,25,33,17,38,8,chr14,41600361,41678357
fgfrl1a,112,20,45,84,0,17,chr14,17442919,17563400
ercc6l,44,28,68,124,72,60,chr5,23913660,23926253
p2rx4b,0,13,16,28,0,33,chr8,30747940,30755977
p2rx4a,0,0,0,0,0,0,chr21_KZ115619v1_alt,27016,36208
ubl3a,858,375,1385,374,386,140,chr10,36363313,36406391
fmr1,2459,2063,2549,1974,993,1280,chr14,20156584,20189279
zgc:112356,1667,1488,1715,1635,746,1129,chr7,40083642,40092014
gpatch4,507,676,586,775,553,560,chr16,29025276,29030669
acod1,36,86,73,21,51,16,chr9|chr9_KZ114903v1_alt,21833628|202627,21838045|207044
gpatch2,477,296,858,309,114,111,chr20,46830828,46866977
gpatch3,1927,2297,5673,1946,1967,1695,chr16,53590586,53601608
gpatch1,4975,6465,4766,4915,2683,2661,chr7,38265363,38277240
rab8b,26,5,23,14,48,7,chr7|chr7_KZ114891v1_alt|chr7_KZ115231v1_alt,29301528|7963|186105,29309400|15835|193959
rab8a,26,32,48,19,0,8,chr2,55273240,55298085
si:dkey-58f6.2,0,19,25,0,0,0,chr6,43491635,43498996
olfcq10,0,0,0,0,0,0,chr18,33521609,33526012
fggy,188,480,1741,162,226,129,chr2,110583,115367
cox8a,7365,7350,6696,6567,5569,4809,chr21,28496193,28500703
sept6,1045,89,868,925,544,443,chr14_KZ115454v1_alt|chr14,262799|33298951,291832|33327963
unk,165,195,429,196,12,149,chr12,36428052,36471946
tssk6,4,0,12,41,0,27,chr22,18386253,18387059
dgcr2,538,785,909,569,336,301,chr10,42044220,42087230
si:ch211-105c13.3,28,25,0,60,53,0,chr16,22695204,22713192
chrna4b,362,578,654,303,345,248,chr11,12982260,12998400
zgc:154046,298,308,237,399,78,263,chr8,44926946,44976455
rps15a,14043,10753,13934,14781,12736,9622,chr3,26346391,26351460
trim69,31,68,13,84,0,13,chr10,40836378,40851677
tmem54b,0,6,4,8,0,0,chr19_KZ115592v1_alt|chr19,60026|32603627,75636|32619242
tmem54a,22,42,46,38,27,11,chr17|chr17_KZ115528v1_alt,25332751|259530,25342274|269053
afg3l2,1811,1323,2027,1647,806,806,chr2,21452822,21469900
LOC108190430,0,0,0,4,0,0,chr6_KZ115203v1_alt|chr6,24996|45928432,26231|45929667
igsf21b,122,318,168,535,3,319,chr23|chr23_KZ115682v1_alt,21638264|154035,21661916|178350
igsf21a,6018,5940,7224,2254,1023,1948,chr11,28643607,29082175
grm4,1325,1731,2177,726,657,653,chr6,46981481,47246948
hapln4,532,300,597,453,180,268,chr22,17828267,17831253
prc1b,41,0,8,48,17,16,chr7,50353301,50367632
hapln3,22,13,36,52,0,0,chr25,19201252,19205875
hapln2,434,207,415,581,209,82,chr16,29303971,29309912
zgc:56231,0,4,8,7,0,8,chr7,58751491,58757823
clca1,0,0,0,3,0,0,chr15,14109652,14120074
si:ch211-194c3.5,104,262,681,38,32,27,chr13_KZ115409v1_alt|chr13,200659|13693722,244631|13737694
zgc:56235,329,695,322,403,126,246,chr10,3299829,3322338
tmem45a,16,0,8,0,44,12,chr6,36821692,36837536
tlk2,931,365,258,450,342,448,chr3_KZ115064v1_alt|chr3,156813|19685868,187257|19717932
si:ch211-39k3.2,147,138,6,335,53,191,chr18,25752610,25754914
dmrta2,184,60,91,12,113,19,chr8,16257220,16259063
msx1a,17,24,16,16,12,0,chr14,10906,12794
shisa9b,443,598,833,335,263,361,chr3,46042597,46115231
shisa9a,1133,686,940,725,274,367,chr12|chr12_KZ115373v1_alt,19792920|294098,19865585|366763
lmbrd2b,1446,1036,1475,1001,485,645,chr21,22400962,22422876
cyb561d1,55,54,91,12,8,10,chr11_KZ115362v1_alt|chr11,361854|36409457,368097|36415700
cyb561d2,86,85,40,88,20,40,chr22,10639440,10641868
gsk3ab,4618,3386,4767,3868,2232,2593,chr16,11242421,11292151
arrdc1b,364,277,728,445,77,112,chr21,14696663,14763023
naa50,568,408,531,603,171,276,chr24_KZ115707v1_alt|chr24,192246|21174891,200968|21183612
mc4r,65,87,72,70,56,49,chr2,27932781,27933761
arrdc1a,0,0,8,4,0,0,chr5,29516844,29531948
ntn2,0,0,28,4,28,0,chr24,38727509,38787457
ntn4,857,1717,474,577,134,372,chr7|chr7_KZ115220v1_alt,19334578|71547,19369020|100977
si:busm1-48c11.3,5,0,42,34,0,8,chr8,36283032,36287046
col9a3,165,96,223,363,79,102,chr23,495515,524780
hoxb13a,0,0,0,0,0,0,chr3,23654233,23655832
lta4h,985,1019,764,9,232,394,chr4_KZ115085v1_alt|chr4,214596|7653612,232971|7673131
mcu,45,5,45,109,20,8,chr13,4721646,4848889
gata5,0,0,5,5,0,0,chr23,7379800,7391000
zgc:173856,0,0,0,0,0,0,chr24,10018653,10021341
gata3,3307,4984,4604,3582,2363,3442,chr4,25054510,25064510
ethe1,282,498,462,430,151,132,chr16,54303491,54320491
fam83d,333,271,374,512,39,246,chr11,25328202,25336918
si:ch73-147o17.1,488,530,555,523,275,415,chr25,35348614,35360171
herpud2,1953,1794,2020,1076,555,1008,chr16,42481475,42494346
herpud1,1396,1097,1338,1048,313,536,chr18,17600729,17608578
ido1,0,0,4,4,0,0,chr8,50463227,50482710
tank,35,42,65,47,25,29,chr9,51521246,51563575
csgalnact2,337,119,355,225,55,100,chr13,25569831,25581303
pcdh1g22,174,90,362,101,0,0,chr10_KZ115319v1_alt|chr10,44455|21776911,87597|21820060
hax1,1890,1093,1537,1242,785,890,chr19,7799105,7805132
mov10b.2,16,51,20,78,40,24,chr8,27630692,27656765
ubfd1,165,130,152,205,3,162,chr3,43942037,43954870
cxcl12b,504,66,596,82,173,15,chr22,26929559,26945511
gla,320,143,119,46,47,24,chr14,38932445,38946799
rab1aa,466,255,553,246,117,365,chr1,55124081,55131407
zgc:172106,21,90,37,0,0,0,chr1,55293807,55299170
sigmar1,834,661,709,577,275,290,chr10,14488625,14494239
zgc:175107,444,640,248,208,208,332,chr4,72534789,72544805
zgc:198329,0,0,0,8,0,0,chr16_KZ115491v1_alt|chr16,30419|11558827,41361|11569769
zgc:193807,87,0,4,29,0,8,chr11,2633791,2649394
bnip3la,186,89,257,155,72,46,chr8,5202589,5220125
si:dkey-199f5.7,8,2,0,0,0,0,chr16,41806766,41808253
LOC100330864,243,267,281,715,465,353,chr20,29492469,29499426
dmbx1a,223,203,295,258,121,95,chr2,10186547,10192381
farsb,2225,2109,2285,1601,1273,1420,chr15,42264895,42283799
ik,6482,5269,6183,4510,2870,3311,chr21,44013487,44037107
ndfip1l,2042,3078,2413,2221,558,1799,chr21,37634795,37650330
ell2,390,420,424,596,151,288,chr21,11749104,11774965
eloca,4,0,101,131,100,101,chr24_KZ115704v1_alt,84984,90339
irf2bp2b,7840,6901,8714,5864,3790,3756,chr11,44723019,44726288
zgc:56493,5675,5918,6448,6872,3618,5135,chr1,40263696,40270556
canx,2355,1611,2601,1703,1013,1032,chr14,16432738,16476841
dydc2,171,57,90,55,107,47,chr12,47783814,47793857
zgc:174855,0,3,2,0,0,8,chr12,16938811,16941319
myod1,61,33,0,56,0,4,chr25,31421253,31423459
si:dkey-65b13.8,0,0,0,0,0,0,chr20,33560419,33561879
actn4,3602,4623,5383,3612,824,1861,chr15,43398317,43510876
kcnip3a,228,115,195,164,26,70,chr8,42764234,42907588
kcnip3b,1253,392,1150,1947,304,341,chr10,20654734,20706109
lingo2b,391,227,320,221,126,84,chr13,12701245,12741665
tmem30aa,1088,795,1122,547,166,161,chr17,49998174,50010167
tmem30ab,2121,1528,2450,1890,655,1093,chr20,16639848,16660851
mtnr1c,8,0,0,0,0,0,chr5,22633188,22665856
lef1,1543,1428,1842,944,597,865,chr1,49814551,49903485
kiz,977,755,1160,467,405,437,chr17,41992180,42045253
or106-1,0,0,0,0,0,0,chr10_KZ114917v1_alt|chr10,218073|36334861,219032|36335820
slc12a10.1,0,0,0,0,0,0,chr7,4425348,4461104
slc12a10.3,2,0,3,0,0,3,chr7,4384863,4420200
slc12a10.2,9,3,0,7,0,0,chr7,4332430,4377398
rc3h1b,244,78,345,113,20,28,chr2,7155128,7185248
oprd1a,256,135,231,90,35,66,chr19,14920968,14951756
trpm4a,208,377,166,255,224,211,chr3,32492577,32518437
trpc6a,18,0,12,61,0,7,chr21_KZ115628v1_alt,226904,237127
nkx3-2,138,196,382,535,192,627,chr14,213614,215166
bcas2,1573,985,1463,1077,748,889,chr8,11008768,11016751
bcas3,585,325,634,344,131,245,chr15,26941075,27354758
glulb,993,768,1109,967,602,597,chr6|chr6_KZ115177v1_alt,23809180|32195,23814409|37426
ska1,43,16,29,16,0,20,chr10,17543276,17550239
or115-8,0,0,0,0,0,0,chr21,40254723,40255667
higd2a,1400,858,1481,1369,1026,1273,chr14,51015205,51018164
pax2a,420,320,441,342,179,134,chr13,29770959,29803764
ska2,1462,1399,1788,1490,629,1042,chr10,33369599,33379644
zgc:110063,695,619,956,737,455,595,chr5,11944262,11960215
st7l,1032,905,1025,572,533,369,chr6,48290132,48317562
wnt5b,193,155,160,52,56,44,chr4,8532174,8665469
wnt5a,24,16,0,8,0,3,chr8,53670652,53680375
kars1,3569,3223,4446,3615,2125,2102,chr7,67429430,67448884
tmem98,52,0,0,39,0,4,chr3,39099769,39110227
hs3st4,468,383,461,140,275,184,chr3,44541322,44753908
hs3st2,70,57,31,77,70,91,chr3,44947355,45000645
hs3st1,23,8,38,14,0,16,chr14,134458,135339
scrt1b,127,89,84,105,38,67,chr16_KZ115499v1_alt|chr16,74007|31186079,76642|31188715
tmem97,134,155,73,83,36,29,chr15,23790057,23793384
nrsn1l,417,253,349,125,0,146,chr19,28356753,28360033
si:dkey-81h8.1,17,49,129,70,34,31,chr19,24394560,24399838
si:dkey-33b17.3,0,0,0,0,0,0,chr8,36142734,36146191
or115-1,0,0,0,0,0,0,chr21,40202577,40204435
coro6,30,41,104,33,54,24,chr21,40484088,40529183
coro7,56,98,142,55,28,46,chr3,12360706,12381272
zgc:110249,0,71,13,102,0,64,chr3,12976,23780
wasf2,106,66,163,131,76,108,chr19,43523675,43543128
avpr2l,88,12,16,8,0,19,chr4,17835559,17838335
msgn1,0,0,5,0,0,0,chr4,306283,308006
wnt10b,88,64,37,3,0,56,chr23,27641471,27647747
lnx2b,259,197,266,284,8,193,chr14,32918498,32945929
abhd14a,205,74,168,136,24,64,chr22,10698595,10706873
LOC795984,0,0,0,0,0,0,chr22_KZ114978v1_alt,180184,181029
htra1a,430,278,329,298,316,136,chr17,21919131,21959485
klf4,100,75,125,73,4,27,chr21,419805,435466
si:ch211-198n5.11,58,51,55,51,0,27,chr8_KZ115253v1_alt|chr8,29710|16676894,41327|16688511
gtf2h2,860,561,1149,1255,1107,580,chr5,26221011,26233068
zgc:171482,75,26,59,28,0,6,chr13,39729512,39830816
zgc:171480,991,984,611,738,405,731,chr8,15251448,15253800
gltpd2,0,2,0,0,0,0,chr5,38462107,38468995
yars2,255,362,568,246,240,326,chr25,2263869,2277255
rcan3,502,525,542,327,413,420,chr17_KZ115531v1_alt|chr17,116375|26879726,161852|26926577
ifng1r,0,0,0,0,0,0,chr4,13517446,13518381
aimp2,1552,1343,1633,1862,1388,1450,chr3,61108356,61116258
hpda,0,0,0,0,21,12,chr5,2815026,2852284
hpdb,0,0,0,0,0,0,chr8_KZ115273v1_alt,209462,219730
lifrb,4,0,0,12,0,0,chr21,21244070,21260763
cplx2l,9397,8846,9061,5362,4557,5183,chr1,12262980,12278778
si:dkey-77f5.3,1496,1189,1263,1392,616,1325,chr15,1033244,1038204
lifra,74,77,115,17,0,93,chr5,8417184,8483537
tmem9b,1080,792,909,649,392,574,chr7,28559662,28565202
ago4,2718,1447,4349,1722,414,654,chr19,47800698,47832853
hoxc12b,0,0,8,4,0,0,chr11,2172335,2173459
gtf2h4,1217,743,1006,833,575,622,chr19,27316467,27334330
hpdl,229,166,194,115,53,128,chr12,46869289,46881002
ago2,135,24,149,60,33,12,chr19,41479987,41499617
tmem147,1234,963,1095,997,631,693,chr16,45019450,45042215
sgpl1,535,634,540,304,148,152,chr13,25727894,25750910
rpl7a,38875,27651,36193,39433,27797,21046,chr5,33284144,33286818
mthfr,402,393,198,374,112,138,chr8,47219121,47252551
nudc,3850,3351,3739,3407,3230,2485,chr19,14158095,14169460
ufc1,506,643,698,686,332,498,chr5,57715614,57718850
sav1,83,129,225,113,32,71,chr13,36787077,36798204
fyna,4847,3737,5300,3493,2179,1854,chr17,15502964,15528599
zgc:113054,15,36,63,132,9,4,chr6,43450305,43474757
macir,35,22,55,8,33,32,chr10,6765109,6775203
asmtl,290,457,159,238,201,244,chr9_KZ115297v1_alt,164615,173809
col11a2,113,4,18,650,23,8,chr19,7179742,7225228
hoxc3a,0,0,0,32,0,0,chr23,36087297,36149042
sumo2b,4259,3183,4167,3153,2019,2495,chr3,6423275,6441683
nup85,1587,1547,1808,1594,1497,1205,chr3,6443994,6477764
gzm3.3,33,0,55,8,0,75,chr9,32667169,32668928
sec22ba,332,393,445,522,136,406,chr2,9973687,9983661
ctsk,168,63,115,506,44,122,chr16,29492994,29502549
phf23b,710,444,908,617,346,409,chr7,26616242,26627253
phf23a,101,104,67,108,34,62,chr5_KZ115112v1_alt|chr5,256850|24240321,261730|24245201
gzm3.4,13,27,36,64,25,28,chr9,32670526,32672129
zgc:154077,991,1369,1451,1181,851,844,chr25,16853386,16877107
ino80e,827,828,836,678,679,517,chr16,10413530,10422490
ino80b,539,333,586,234,114,183,chr7,7696693,7707213
ino80c,559,467,455,491,135,422,chr16,26850978,26855945
casp7,60,30,59,63,0,16,chr12,30569621,30583668
casp2,126,72,147,122,15,58,chr16,17551284,17577581
mhc1zaa,0,0,0,0,0,0,chr1,47129988,47134760
si:dkey-71b5.6,0,0,0,10,41,0,chrUn_KN149843v1,2890,5940
gstm.3,103,55,56,321,39,102,chr8,25302172,25307009
napepld,551,549,720,601,267,364,chr4,20480399,20485508
gstm.1,935,645,599,942,627,484,chr8,25295234,25297928
casp9,815,650,988,760,217,538,chr23,24973774,24985272
pla2g6,311,339,216,263,353,165,chr22,29091545,29126877
pla2g7,206,28,227,130,49,46,chr20,35462282,35470902
macroh2a2,9789,8193,10584,7992,4325,6186,chr13,7753049,7767594
scnm1,39,98,94,28,32,40,chr16,29685559,29690188
arpc4l,45,31,48,39,42,20,chr11|chr11_KZ114922v1_alt|chr11_KZ115346v1_alt,16143325|44706|310428,16152034|51178|319137
pla2g3,373,1048,942,367,660,139,chr10,3520256,3532998
rarab,132,211,237,153,26,72,chr3|chr3_KZ114852v1_alt,33065606|406471,33113708|455848
ctss2.1,114,121,68,347,111,55,chr16,29509127,29513434
smad4a,553,297,772,164,119,202,chr10,573667,590085
hdac3,49,14,10,152,41,143,chr14_KZ115433v1_alt,289388,318292
ctsc,213,50,135,138,173,31,chr15,43604031,43625549
hdac4,1083,569,1365,694,345,300,chr9,45884041,46072805
fntb,8212,6966,7349,4879,3717,3603,chr20,28803985,28827756
vps25,173,67,378,207,35,51,chr12,3715686,3721954
foxr1,0,4,0,5,0,0,chr5,58679071,58684457
vps28,1733,1395,2151,1112,579,680,chr19,46222430,46238626
vps29,1141,1017,1093,817,419,506,chr21,17005731,17011574
ywhaqa,5059,3425,4577,3316,1876,2857,chr20,29565920,29585336
ywhaqb,20202,19754,19495,19032,8748,20398,chr17,32500452,32525651
golga1,844,1129,1363,777,484,355,chr8,41469237,41514628
golga2,442,159,773,315,209,236,chr5,1432468,1487226
golga3,1802,1393,2475,1395,379,670,chr5,18965495,19006290
golga5,1880,1672,1988,1534,730,902,chr13,33211382,33227260
arpin,33,32,0,38,0,12,chr18_KZ115560v1_alt,52361,57408
golga7,1323,818,1302,1106,533,572,chr10,20364388,20372141
ednrba,0,0,0,0,0,0,chr1,28624183,28629471
si:ch211-283h6.4,70,13,60,18,0,12,chr5,68817034,68826177
elac1,422,647,427,526,316,926,chr5_KZ115100v1_alt|chr5,203622|6854547,213202|6864127
vps26a,921,687,966,541,170,462,chr13,23058268,23067381
vbp1,951,732,977,765,498,528,chr7,23887728,23894685
vps26c,3061,2933,2455,2409,1928,2065,chr10,76876,81705
vps26b,194,68,251,353,44,235,chr15_KZ115482v1_alt|chr15,227600|19324723,234026|19331078
tmem119b,78,86,118,109,78,90,chr5_KZ115122v1_alt|chr5,189424|31872019,192689|31875284
cart2,389,511,574,434,392,402,chr25|chr25_KZ115734v1_alt,19441840|342443,19443436|344039
pkmyt1,1071,1335,1573,1188,403,919,chr12,14965588,15002551
cart4,212,192,133,310,44,40,chr19,42241531,42244358
rps27.1,17479,11047,18691,21645,13299,11727,chr19,8743260,8748548
dstyk,6609,8656,9382,7141,5633,4903,chr22,473264,506567
rps27.2,23979,21289,24674,23732,21138,14957,chr16,23788616,23797545
hnrnpaba,21073,17384,21560,17145,8155,11202,chr14,6962382,6966127
cyp39a1,247,228,282,349,268,264,chr20,39190854,39219542
hnrnpabb,7760,5859,7829,6223,3954,4055,chr21,3166519,3173735
scdb,1877,928,1913,954,349,645,chr13,30009625,30027290
mpp5b,19,28,138,14,0,54,chr20,51006362,51081828
sema6d,366,263,553,398,549,437,chr19,390297,417380
sema6e,329,306,474,374,105,141,chr16,30117871,30267666
aopep,362,530,402,380,306,253,chr8,30172915,30316436
sema6a,4989,3707,6567,3251,1659,1502,chrUn_KN150518v1,16344,40356
rlbp1a,10,4,4,20,16,0,chr7,13867721,13884508
srsf2a,4791,4317,5724,3860,1286,2435,chr12,31720674,31724380
srsf2b,675,624,495,604,180,346,chr3,60594136,60602432
rlbp1b,1056,1085,1294,581,737,325,chr25,19107273,19118127
gnmt,112,52,51,64,5,55,chr17,48921829,48935872
zgc:173624,0,0,0,0,0,0,chr4_KZ115097v1_alt,97106,111568
lsm14b,84,72,94,31,21,22,chr23,553396,567183
fgf1a,8,18,12,8,4,16,chr14_KZ115445v1_alt|chr14,35082|23731959,40715|23737593
naxd,1997,1899,2275,1862,622,1149,chr9,8898349,8923471
ctu2,418,445,368,205,250,311,chr7,55293098,55325712
ctu1,162,81,191,144,101,52,chr8,3431716,3439484
hist1h2a11,0,0,0,0,0,0,chr7,5904021,5904598
isl2a,1064,686,460,266,123,261,chr25,32746016,32751981
si:ch211-157b11.14,419,448,536,256,506,131,chr6,40689357,40697585
cyb5r3,551,507,545,263,155,304,chr4,11804668,11810771
tmem179aa,1321,1160,1029,1149,308,556,chr20,27393668,27396568
pak1,6257,4936,5799,4498,2354,2343,chr18,3169911,3284188
si:ch211-157b11.12,32,415,329,371,190,288,chr6,40707166,40713199
nudcd2,171,150,175,193,90,66,chr14_KZ115441v1_alt|chr14,322277|22140258,334032|22152013
nudcd3,1538,1248,1659,1391,1097,822,chr10,45059797,45070182
chmp4ba,1958,1395,1776,1448,910,1465,chr6,49901513,49920320
nudcd1,547,431,545,388,341,363,chr19,22759116,22843445
lipg,29,52,55,60,5,93,chr8,32376936,32386005
zgc:114120,512,522,502,399,481,322,chr24,36452927,36524501
zar1,38,27,13,42,0,12,chr20,23423814,23426340
yrdc,60,100,84,104,29,35,chr16,4182895,4190726
hspb1,874,576,586,715,470,288,chr5,3568125,3574199
zgc:114123,13,21,4,44,37,0,chr23,2728226,2745985
pkp3a,0,5,0,41,0,0,chr25,22151271,22187344
ensab,101,9,202,60,56,84,chr16,29555801,29577708
egr2a,485,883,1128,970,257,374,chr17,43663469,43677526
dazap1,1148,120,212,904,109,937,chr11|chr11_KZ115338v1_alt,5880562|75906,5923741|119011
fut11,119,67,120,104,56,76,chr14,14608100,14622984
egr2b,95,102,214,448,415,96,chr12,8483838,8486324
zgc:153012,240,152,265,361,115,160,chr20,54525063,54564287
fbxw2,1280,892,969,820,251,571,chr5,32380026,32396929
rps4x,36406,30682,37163,39961,29389,24428,chr7,51633816,51639640
zgc:153018,757,454,985,504,139,148,chr14,45342061,45346516
si:dkey-58f10.11,3,0,4,10,0,3,chr5_KZ115135v1_alt|chr5,28302|38680061,30523|38682282
si:dkey-58f10.10,1,0,0,0,0,0,chr5,38684651,38687048
fgf19,0,0,0,0,0,0,chr7,54641996,54645443
zgc:85936,3584,3131,3339,1653,2987,1634,chr19,48060473,48069778
or105-1,0,0,0,0,0,0,chr10_KZ114917v1_alt|chr10,228389|36345211,229366|36346188
rnasel2,0,0,0,0,0,0,chr22,6293517,6294749
rcn3,21,18,6,38,12,10,chr3|chr3_KZ115072v1_alt,32536921|23936,32541022|28039
atf6,717,329,956,414,42,255,chr20,33811556,33864696
fgf17,21,49,18,47,7,11,chr8,52732107,52745168
fgf16,0,5,2,0,0,6,chr14_KZ114937v1_alt|chr14,271289|10752495,281383|10762589
atf3,132,105,241,159,49,47,chr20,37794678,37800737
fgf14,129,45,122,27,12,42,chr9,31838044,31915423
slc9a5,777,393,619,308,315,223,chr7,34620525,34653251
slc9a7,1675,1062,1649,961,458,666,chr6,37529383,37600646
slc9a2,0,10,0,12,0,9,chr9,6962493,6991373
si:dkey-76k16.5,60,20,52,20,49,40,chr13,33664451,33667922
dnajb11,418,549,879,395,210,192,chr9,32641028,32648632
zgc:158427,0,0,0,0,0,0,chr18,40617756,40637859
zgc:162999,0,0,0,0,0,0,chr6,20469171,20627763
upf3b,290,334,323,345,128,224,chr14_KZ115454v1_alt|chr14,303191|33339322,314972|33351103
upf3a,6721,5504,6870,6479,3223,4656,chr9,34902971,34915394
apoda.1,0,0,0,16,0,3,chr2,37207792,37210389
trim35-28,239,311,416,538,580,617,chr16,26439593,26444307
trim35-29,1,0,4,0,0,17,chr16,26846495,26849172
trim35-27,70,75,60,173,24,68,chr14,757436,763744
tmem220,28,34,8,21,0,12,chr3,10637320,10641930
slc2a11l,20,0,5,3,0,17,chr10,17485946,17501505
trim35-22,0,0,0,0,0,0,chr3,7964606,7974028
trim35-23,0,26,0,0,0,12,chr3,7952790,7961226
trim35-20,2,2,28,9,4,1,chr22,36902288,36905615
trim35-21,0,0,0,0,0,0,chr3,7904390,7912661
si:dkey-204f11.64,36,40,24,76,0,56,chr3,34140487,34147100
cfdp1,136,210,179,186,127,99,chr18,22416051,22486767
acsl4b,118,146,136,140,78,55,chr5,23518291,23574225
tmem167b,420,212,450,317,89,191,chr11,2699964,2707032
mllt1b,986,797,1189,528,346,384,chr2,22970141,22993624
tpma,135,108,135,226,51,51,chr7,29952249,29960619
rprm3,57,0,98,3,0,6,chr23,32128399,32129569
gfra1b,48,25,31,12,0,13,chr12,29763656,29818209
hoxb8b,16,3,3,17,0,10,chr12|chr12_KZ115384v1_alt,27117609|21725,27120119|24235
arl6ip6,12,0,0,0,0,5,chr6,13371237,13376060
arl6ip4,114,167,110,191,96,211,chr5_KZ114873v1_alt|chr5,34024|69733127,47173|69746276
fam167ab,113,173,133,121,48,79,chr20,18741089,18757252
arl6ip1,1690,381,2187,1397,558,672,chr3,31104891,31115947
cxcl14,343,89,451,215,160,96,chr14_KZ115446v1_alt|chr14,362484|24400803,372622|24410673
atoh7,236,213,308,91,215,210,chr13,25449699,25450724
